Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OZ484492,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500987,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-29,2026-06-17,ssRNA(+)
OZ484493,dengue virus type 3,Orthoflavivirus denguei,,IEDCR-ARBV2501060,10461,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-24,2026-06-17,ssRNA(+)
OZ484494,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500878,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-08,2026-06-17,ssRNA(+)
OZ484495,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500699,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-08-25,2026-06-17,ssRNA(+)
OZ484496,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500892,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-13,2026-06-17,ssRNA(+)
OZ484497,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500037,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-01-16,2026-06-17,ssRNA(+)
OZ484498,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-CBD625009,10512,complete,Bangladesh:Barguna,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-06-17,2026-06-17,ssRNA(+)
OZ484499,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2501007,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-02,2026-06-17,ssRNA(+)
OZ484500,dengue virus type 3,Orthoflavivirus denguei,,IEDCR-ARBV2501038,10461,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-12,2026-06-17,ssRNA(+)
OZ484501,dengue virus type 1,Orthoflavivirus denguei,,IEDCR-CXB12704,10477,complete,Bangladesh:Cox's Bazar,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-08-12,2026-06-17,ssRNA(+)
OZ484502,dengue virus type 1,Orthoflavivirus denguei,,IEDCR-ARBV2500806,10477,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-09-17,2026-06-17,ssRNA(+)
OZ484503,dengue virus type 4,Orthoflavivirus denguei,,IEDCR-ARBV2500972,10511,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-27,2026-06-17,ssRNA(+)
OZ484504,dengue virus type 4,Orthoflavivirus denguei,,IEDCR-ARBV2501018,10511,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-05,2026-06-17,ssRNA(+)
OZ484505,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2501041,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-13,2026-06-17,ssRNA(+)
OZ484506,dengue virus type 1,Orthoflavivirus denguei,,IEDCR-CXB14603,10477,complete,Bangladesh:Cox's Bazar,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-08-13,2026-06-17,ssRNA(+)
OZ484507,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500916,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-16,2026-06-17,ssRNA(+)
OZ484508,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2501044,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-16,2026-06-17,ssRNA(+)
OZ484509,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500988,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-29,2026-06-17,ssRNA(+)
OZ484510,dengue virus type 1,Orthoflavivirus denguei,,IEDCR-ARBV2500917,10477,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-13,2026-06-17,ssRNA(+)
OZ484511,dengue virus type 1,Orthoflavivirus denguei,,IEDCR-ARBV2500992,10477,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-27,2026-06-17,ssRNA(+)
OZ484512,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500989,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-29,2026-06-17,ssRNA(+)
OZ484513,dengue virus type 3,Orthoflavivirus denguei,,IEDCR-ARBV2501003,10461,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-30,2026-06-17,ssRNA(+)
OZ484514,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500955,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-23,2026-06-17,ssRNA(+)
OZ484515,dengue virus type 3,Orthoflavivirus denguei,,IEDCR-ARBV2501071,10461,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-12-03,2026-06-17,ssRNA(+)
OZ484516,dengue virus type 3,Orthoflavivirus denguei,,IEDCR-ARBV2501063,10461,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-27,2026-06-17,ssRNA(+)
OZ484517,dengue virus type 3,Orthoflavivirus denguei,,IEDCR-ARBV2500903,10461,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-14,2026-06-17,ssRNA(+)
OZ484518,dengue virus type 2,Orthoflavivirus denguei,,IEDCR-ARBV2500975,10512,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-27,2026-06-17,ssRNA(+)
PZ017435,dengue virus type 3,Orthoflavivirus denguei,3,MMC1-2024,1479,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2024-10-31,2026-02-24,ssRNA(+)
PZ017436,dengue virus type 3,Orthoflavivirus denguei,3,MMC6-2024,1479,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2024-10-31,2026-02-24,ssRNA(+)
PZ017437,dengue virus type 3,Orthoflavivirus denguei,3,MMC19-2024,1479,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2024-10-31,2026-02-24,ssRNA(+)
PZ017438,dengue virus type 3,Orthoflavivirus denguei,3,MMC39-2024,1998,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2024-10-31,2026-02-24,ssRNA(+)
PZ017439,dengue virus type 3,Orthoflavivirus denguei,3,MMC42-2024,2024,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2024-10-31,2026-02-24,ssRNA(+)
PZ017440,dengue virus type 3,Orthoflavivirus denguei,3,MMC165-2024,2154,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2025-09-30,2026-02-24,ssRNA(+)
PZ017441,dengue virus type 3,Orthoflavivirus denguei,3,MMC178-2024,2154,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2025-09-30,2026-02-24,ssRNA(+)
PZ017442,dengue virus type 3,Orthoflavivirus denguei,3,MMC204-2024,2154,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2025-09-30,2026-02-24,ssRNA(+)
PZ017443,dengue virus type 3,Orthoflavivirus denguei,3,MMC206-2024,2173,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2025-09-30,2026-02-24,ssRNA(+)
